Distance (nm),C %,C % Error,Fe %,Fe % Error,Si %,Si % Error,C3 %,C3 % Error,C2 %,C2 % Error,Mn %,Mn % Error,Ga %,Ga % Error,Cr %,Cr % Error,V %,V % Error,P %,P % Error,FeC2 %,FeC2 % Error,C4 %,C4 % Error,B %,B % Error,Ni %,Ni % Error,Co %,Co % Error,Zn %,Zn % Error,FeO %,FeO % Error,Cu %,Cu % Error,Mo %,Mo % Error,MoC %,MoC % Error,Mo2 %,Mo2 % Error,W %,W % Error,O %,O % Error,WC %,WC % Error,Pb %,Pb % Error,Bi %,Bi % Error,Sample Count
-14.75,0.384908537,0.03822605,84.56554878,0.223028527,1.532012195,0.07582226,0,0,0,0,0.270579268,0.032068378,0,0,10.68978659,0.190745001,0.083841463,0.017867565,0.007621951,0.005389328,0,0,0,0,0,0,1.314786585,0.07031885,0.27820122,0.032515666,0.015243902,0.00762137,0,0,0.041920732,0.012636927,0.78125,0.054351305,0,0,0,0,0.015243902,0.00762137,0.019054878,0.008520789,0,0,0,0,0,0,26240
-14.25,0.378858225,0.037441427,84.78624225,0.218886621,1.452289864,0.072910184,0,0,0,0,0.274857928,0.031907644,0.003714296,0.003714227,10.44460127,0.186393212,0.066857334,0.015753156,0.007428593,0.005252613,0,0,0,0,0,0,1.366861048,0.07076392,0.312000891,0.033988941,0.018571482,0.008304648,0,0,0.07057163,0.016184528,0.787430821,0.053867625,0,0,0,0,0.026000074,0.009825827,0,0,0,0,0.003714296,0.003714227,0,0,26923
-13.75,0.409134866,0.038929596,84.78762181,0.219029033,1.283195715,0.068640256,0,0,0,0,0.212006249,0.028051131,0,0,10.58915421,0.18765608,0.107862828,0.020018819,0.007438816,0.005259841,0,0,0,0,0,0,1.417094399,0.072083705,0.34962434,0.035997903,0.014877631,0.007438262,0,0,0.078107565,0.01703781,0.725284535,0.05175001,0,0,0,0,0.011158224,0.006441844,0,0,0,0,0.007438816,0.005259841,0,0,26886
-13.25,0.430939227,0.039754409,84.76979742,0.21806627,1.429097606,0.072031158,0,0,0,0,0.239410681,0.029659672,0.003683241,0.003683173,10.55248619,0.186456109,0.114180479,0.020495708,0.007366483,0.005208698,0,0,0,0,0,0,1.399631676,0.071295355,0.290976059,0.032689701,0.018416206,0.008235219,0,0,0.062615101,0.015181637,0.666666667,0.04938749,0,0,0,0,0.014732965,0.00736594,0,0,0,0,0,0,0,0,27150
-12.75,0.350450579,0.035338769,84.66957517,0.215447341,1.355313975,0.069144423,0,0,0,0,0.275354027,0.031336271,0,0,10.71019883,0.184926882,0.050064368,0.013376916,0.017880132,0.007995523,0,0,0,0,0,0,1.358890001,0.069234328,0.343298527,0.034977565,0.035760263,0.011306366,0,0,0.078672579,0.016766451,0.747389501,0.051504458,0,0,0,0,0.007152053,0.005057084,0,0,0,0,0,0,0,0,27964
-12.25,0.345626225,0.035032328,85.20933547,0.211911687,1.329057545,0.068357159,0,0,0,0,0.220915731,0.028025318,0.007126314,0.005038885,10.19775521,0.180639767,0.103331552,0.019178271,0.024942099,0.009426051,0,0,0,0,0,0,1.386068056,0.069787701,0.302868341,0.032800899,0.014252628,0.007125806,0,0,0.049884197,0.013328787,0.783894531,0.052642606,0,0,0,0,0.014252628,0.007125806,0.007126314,0.005038885,0,0,0.003563157,0.003563093,0,0,28065
-11.75,0.371431604,0.036180632,85.05076232,0.212076919,1.209805794,0.065021881,0,0,0,0,0.254695957,0.029977957,0,0,10.2868867,0.180681929,0.106123315,0.019365094,0.014149775,0.007074387,0,0,0,0,0,0,1.567087622,0.073868892,0.32190739,0.033690706,0.014149775,0.007074387,0,0,0.063673989,0.015003324,0.725175988,0.050464508,0,0,0,0,0.007074888,0.005002524,0.007074888,0.005002524,0,0,0,0,0,0,28269
-11.25,0.341391082,0.034252477,85.0925894,0.209148843,1.331080382,0.067297792,0,0,0,0,0.237939239,0.02861042,0,0,10.37621987,0.179076955,0.075864685,0.016168269,0.003448395,0.003448335,0,0,0,0,0,0,1.396599883,0.068911299,0.275871582,0.030800807,0.034483948,0.010902901,0,0,0.058622711,0.014213928,0.744853271,0.050491744,0,0,0,0,0.020690369,0.008445934,0.003448395,0.003448335,0,0,0.003448395,0.003448335,0.003448395,0.003448335,28999
-10.75,0.364586916,0.035347199,84.91779597,0.209884018,1.3035702,0.066522037,0,0,0,0,0.288917934,0.031477959,0.003439499,0.00343944,10.49735159,0.179765117,0.092866479,0.017863862,0.006878998,0.004864019,0,0,0,0,0,0,1.39299718,0.068734789,0.316433927,0.03293828,0.013757997,0.006878525,0,0,0.041273991,0.011912316,0.742931829,0.050361982,0,0,0,0,0.010318498,0.00595708,0.003439499,0.00343944,0,0,0.003439499,0.00343944,0,0,29074
-10.25,0.389306139,0.036551484,84.74471164,0.211043956,1.288499966,0.066196113,0,0,0,0,0.268724592,0.030386158,0.003445187,0.003445128,10.72831255,0.181647316,0.065458554,0.015012306,0.006890374,0.004872062,0,0,0,0,0,0,1.381520017,0.068511606,0.272169779,0.030579793,0.020671122,0.008438078,0,0,0.031006684,0.010333959,0.782057466,0.051703608,0,0,0,0,0.013780748,0.006889899,0.003445187,0.003445128,0,0,0,0,0,0,29026
