"","HAADF","O","Cr","Fe","Ni","Pb","Bi"
"Position","Intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity"
"m","Counts","Counts","Counts","Counts","Counts","Counts","Counts"
5.507326e-09,2.138784e+04,2.088813e-01,1.894958e-01,1.654804e+00,1.208399e-01,9.787486e-03,2.114505e-02
5.560281e-09,2.141794e+04,2.188080e-01,2.205622e-01,1.687030e+00,1.276632e-01,7.706737e-03,2.092435e-02
5.613236e-09,2.146324e+04,1.992327e-01,2.457843e-01,1.760198e+00,1.327720e-01,1.423965e-02,1.477171e-02
5.666191e-09,2.143062e+04,1.665488e-01,2.589282e-01,1.800815e+00,1.276314e-01,2.383920e-02,1.024952e-02
5.719146e-09,2.150133e+04,1.644394e-01,2.554668e-01,1.770652e+00,1.232841e-01,2.498885e-02,6.107272e-03
5.772101e-09,2.149353e+04,1.905000e-01,2.234450e-01,1.697735e+00,1.308568e-01,2.425602e-02,6.574039e-03
5.825056e-09,2.151584e+04,2.018148e-01,2.071596e-01,1.657353e+00,1.250799e-01,2.249002e-02,1.557582e-02
5.878012e-09,2.147747e+04,1.797815e-01,2.139343e-01,1.631652e+00,1.294061e-01,1.445820e-02,2.092238e-02
5.930967e-09,2.149676e+04,1.512474e-01,2.186618e-01,1.658150e+00,1.499553e-01,8.435890e-03,1.247085e-02
5.983922e-09,2.155650e+04,1.409292e-01,2.131517e-01,1.687166e+00,1.582728e-01,1.149762e-02,4.132427e-03
6.036877e-09,2.152509e+04,1.341451e-01,2.171465e-01,1.684333e+00,1.599540e-01,1.672685e-02,2.033849e-03
6.089832e-09,2.155982e+04,1.291379e-01,2.393097e-01,1.707355e+00,1.347371e-01,1.567758e-02,3.069944e-03
6.142787e-09,2.159178e+04,1.350535e-01,2.582351e-01,1.714367e+00,1.047959e-01,1.616197e-02,6.154291e-03
6.195742e-09,2.165481e+04,1.398569e-01,2.591549e-01,1.698703e+00,1.097133e-01,1.799436e-02,7.863011e-03
6.248697e-09,2.167840e+04,1.410003e-01,2.575217e-01,1.657604e+00,1.420200e-01,1.752850e-02,7.652335e-03
6.301652e-09,2.169343e+04,1.542840e-01,2.538287e-01,1.604267e+00,1.648606e-01,1.932230e-02,9.886082e-03
6.354607e-09,2.167037e+04,1.817139e-01,2.531957e-01,1.564675e+00,1.621673e-01,2.610026e-02,1.130286e-02
6.407562e-09,2.169738e+04,2.010062e-01,2.613299e-01,1.557307e+00,1.426539e-01,2.735535e-02,7.021430e-03
6.460517e-09,2.178305e+04,1.985439e-01,2.702881e-01,1.613741e+00,1.363878e-01,2.396074e-02,3.633283e-03
6.513472e-09,2.179696e+04,1.705773e-01,2.634309e-01,1.658275e+00,1.553089e-01,1.987775e-02,3.118104e-03
6.566427e-09,2.184067e+04,1.347528e-01,2.498036e-01,1.613039e+00,1.860259e-01,1.553161e-02,2.268101e-03
